00080001, LengthToEnd, UL, 1, RET, true
00080005, SpecificCharacterSet, CS, 1-n, , false
00080006, LanguageCodeSequence, SQ, 1, , false
00080008, ImageType, CS, 2-n, , false
00080010, RecognitionCode, SH, 1, RET, true
00080012, InstanceCreationDate, DA, 1, , false
00080013, InstanceCreationTime, TM, 1, , false
00080014, InstanceCreatorUID, UI, 1, , false
00080015, InstanceCoercionDateTime, DT, 1, , false
00080016, SOPClassUID, UI, 1, , false
00080018, SOPInstanceUID, UI, 1, , false
0008001A, RelatedGeneralSOPClassUID, UI, 1-n, , false
0008001B, OriginalSpecializedSOPClassUID, UI, 1, , false
00080020, StudyDate, DA, 1, , false
00080021, SeriesDate, DA, 1, , false
00080022, AcquisitionDate, DA, 1, , false
00080023, ContentDate, DA, 1, , false
00080024, OverlayDate, DA, 1, RET (2004), true
00080025, CurveDate, DA, 1, RET (2004), true
0008002A, AcquisitionDateTime, DT, 1, , false
00080030, StudyTime, TM, 1, , false
00080031, SeriesTime, TM, 1, , false
00080032, AcquisitionTime, TM, 1, , false
00080033, ContentTime, TM, 1, , false
00080034, OverlayTime, TM, 1, RET (2004), true
00080035, CurveTime, TM, 1, RET, true
00080040, DataSetType, US, 1, RET (2004), true
00080041, DataSetSubtype, LO, 1, RET (2004), true
00080042, NuclearMedicineSeriesType, CS, 1, RET (2004), true
00080050, AccessionNumber, SH, 1, , false
00080051, IssuerOfAccessionNumberSequence, SQ, 1, , false
00080052, QueryRetrieveLevel, CS, 1, , false
00080053, QueryRetrieveView, CS, 1, , false
00080054, RetrieveAETitle, AE, 1-n, , false
00080055, StationAETitle, AE, 1, , false
00080056, InstanceAvailability, CS, 1, , false
00080058, FailedSOPInstanceUIDList, UI, 1-n, , false
00080060, Modality, CS, 1, , false
00080061, ModalitiesInStudy, CS, 1-n, , false
00080062, SOPClassesInStudy, UI, 1-n, , false
00080063, AnatomicRegionsInStudyCodeSequence, SQ, 1, , false
00080064, ConversionType, CS, 1, , false
00080068, PresentationIntentType, CS, 1, , false
00080070, Manufacturer, LO, 1, , false
00080080, InstitutionName, LO, 1, , false
00080081, InstitutionAddress, ST, 1, , false
00080082, InstitutionCodeSequence, SQ, 1, , false
00080090, ReferringPhysicianName, PN, 1, , false
00080092, ReferringPhysicianAddress, ST, 1, , false
00080094, ReferringPhysicianTelephoneNumbers, SH, 1-n, , false
00080096, ReferringPhysicianIdentificationSequence, SQ, 1, , false
0008009C, ConsultingPhysicianName, PN, 1-n, , false
0008009D, ConsultingPhysicianIdentificationSequence, SQ, 1, , false
00080100, CodeValue, SH, 1, , false
00080101, ExtendedCodeValue, LO, 1, DICOS, false
00080102, CodingSchemeDesignator, SH, 1, , false
00080103, CodingSchemeVersion, SH, 1, , false
00080104, CodeMeaning, LO, 1, , false
00080105, MappingResource, CS, 1, , false
00080106, ContextGroupVersion, DT, 1, , false
00080107, ContextGroupLocalVersion, DT, 1, , false
00080108, ExtendedCodeMeaning, LT, 1, DICOS, false
00080109, CodingSchemeResourcesSequence, SQ, 1, , false
0008010A, CodingSchemeURLType, CS, 1, , false
0008010B, ContextGroupExtensionFlag, CS, 1, , false
0008010C, CodingSchemeUID, UI, 1, , false
0008010D, ContextGroupExtensionCreatorUID, UI, 1, , false
0008010E, CodingSchemeURL, UR, 1, , false
0008010F, ContextIdentifier, CS, 1, , false
00080110, CodingSchemeIdentificationSequence, SQ, 1, , false
00080112, CodingSchemeRegistry, LO, 1, , false
00080114, CodingSchemeExternalID, ST, 1, , false
00080115, CodingSchemeName, ST, 1, , false
00080116, CodingSchemeResponsibleOrganization, ST, 1, , false
00080117, ContextUID, UI, 1, , false
00080118, MappingResourceUID, UI, 1, , false
00080119, LongCodeValue, UC, 1, , false
00080120, URNCodeValue, UR, 1, , false
00080121, EquivalentCodeSequence, SQ, 1, , false
00080122, MappingResourceName, LO, 1, , false
00080123, ContextGroupIdentificationSequence, SQ, 1, , false
00080124, MappingResourceIdentificationSequence, SQ, 1, , false
00080201, TimezoneOffsetFromUTC, SH, 1, , false
00080220, ResponsibleGroupCodeSequence, SQ, 1, , false
00080221, EquipmentModality, CS, 1, , false
00080222, ManufacturerRelatedModelGroup, LO, 1, , false
00080300, PrivateDataElementCharacteristicsSequence, SQ, 1, , false
00080301, PrivateGroupReference, US, 1, , false
00080302, PrivateCreatorReference, LO, 1, , false
00080303, BlockIdentifyingInformationStatus, CS, 1, , false
00080304, NonidentifyingPrivateElements, US, 1-n, , false
00080306, IdentifyingPrivateElements, US, 1-n, , false
00080305, DeidentificationActionSequence, SQ, 1, , false
00080307, DeidentificationAction, CS, 1, , false
00080308, PrivateDataElement, US, 1, , false
00080309, PrivateDataElementValueMultiplicity, UL, 1-3, , false
0008030A, PrivateDataElementValueRepresentation, CS, 1, , false
0008030B, PrivateDataElementNumberOfItems, UL, 1-2, , false
0008030C, PrivateDataElementName, UC, 1, , false
0008030D, PrivateDataElementKeyword, UC, 1, , false
0008030E, PrivateDataElementDescription, UT, 1, , false
0008030F, PrivateDataElementEncoding, UT, 1, , false
00080310, PrivateDataElementDefinitionSequence, SQ, 1, , false
00081000, NetworkID, AE, 1, RET, true
00081010, StationName, SH, 1, , false
00081030, StudyDescription, LO, 1, , false
00081032, ProcedureCodeSequence, SQ, 1, , false
0008103E, SeriesDescription, LO, 1, , false
0008103F, SeriesDescriptionCodeSequence, SQ, 1, , false
00081040, InstitutionalDepartmentName, LO, 1, , false
00081041, InstitutionalDepartmentTypeCodeSequence, SQ, 1, , false
00081048, PhysiciansOfRecord, PN, 1-n, , false
00081049, PhysiciansOfRecordIdentificationSequence, SQ, 1, , false
00081050, PerformingPhysicianName, PN, 1-n, , false
00081052, PerformingPhysicianIdentificationSequence, SQ, 1, , false
00081060, NameOfPhysiciansReadingStudy, PN, 1-n, , false
00081062, PhysiciansReadingStudyIdentificationSequence, SQ, 1, , false
00081070, OperatorsName, PN, 1-n, , false
00081072, OperatorIdentificationSequence, SQ, 1, , false
00081080, AdmittingDiagnosesDescription, LO, 1-n, , false
00081084, AdmittingDiagnosesCodeSequence, SQ, 1, , false
00081090, ManufacturerModelName, LO, 1, , false
00081100, ReferencedResultsSequence, SQ, 1, RET (2004), true
00081110, ReferencedStudySequence, SQ, 1, , false
00081111, ReferencedPerformedProcedureStepSequence, SQ, 1, , false
00081115, ReferencedSeriesSequence, SQ, 1, , false
00081120, ReferencedPatientSequence, SQ, 1, , false
00081125, ReferencedVisitSequence, SQ, 1, , false
00081130, ReferencedOverlaySequence, SQ, 1, RET (2004), true
00081134, ReferencedStereometricInstanceSequence, SQ, 1, , false
0008113A, ReferencedWaveformSequence, SQ, 1, , false
00081140, ReferencedImageSequence, SQ, 1, , false
00081145, ReferencedCurveSequence, SQ, 1, RET (2004), true
0008114A, ReferencedInstanceSequence, SQ, 1, , false
0008114B, ReferencedRealWorldValueMappingInstanceSequence, SQ, 1, , false
00081150, ReferencedSOPClassUID, UI, 1, , false
00081155, ReferencedSOPInstanceUID, UI, 1, , false
00081156, DefinitionSourceSequence, SQ, 1, , false
0008115A, SOPClassesSupported, UI, 1-n, , false
00081160, ReferencedFrameNumber, IS, 1-n, , false
00081161, SimpleFrameList, UL, 1-n, , false
00081162, CalculatedFrameList, UL, 3-3n, , false
00081163, TimeRange, FD, 2, , false
00081164, FrameExtractionSequence, SQ, 1, , false
00081167, MultiFrameSourceSOPInstanceUID, UI, 1, , false
00081190, RetrieveURL, UR, 1, , false
00081195, TransactionUID, UI, 1, , false
00081196, WarningReason, US, 1, , false
00081197, FailureReason, US, 1, , false
00081198, FailedSOPSequence, SQ, 1, , false
00081199, ReferencedSOPSequence, SQ, 1, , false
0008119A, OtherFailuresSequence, SQ, 1, , false
00081200, StudiesContainingOtherReferencedInstancesSequence, SQ, 1, , false
00081250, RelatedSeriesSequence, SQ, 1, , false
00082110, LossyImageCompressionRetired, CS, 1, RET (1993), true
00082111, DerivationDescription, ST, 1, , false
00082112, SourceImageSequence, SQ, 1, , false
